Accuracy,Macro F1,Binary F1,ROC-AUC,Dataset,Condition,Model
0.7704918032786885,0.675531914893617,0.5,0.6604278074866309,heart_data,Raw,Decision Tree
0.819672131147541,0.723298969072165,0.56,0.9090909090909092,heart_data,Raw,Random Forest
0.7868852459016393,0.6517347386912604,0.43478260869565216,0.8636363636363636,heart_data,Raw,KNN
0.819672131147541,0.723298969072165,0.56,0.9211229946524064,heart_data,Raw,Logistic Regression
0.8032786885245902,0.7553475935828877,0.6470588235294118,0.8342245989304813,heart_data,Raw,ANN (MLP)
0.7377049180327869,0.6463768115942029,0.4666666666666667,0.6377005347593583,heart_data,SMOTE,Decision Tree
0.819672131147541,0.7512050426399703,0.6206896551724138,0.9144385026737968,heart_data,SMOTE,Random Forest
0.8360655737704918,0.7881944444444444,0.6875,0.838235294117647,heart_data,SMOTE,KNN
0.819672131147541,0.7512050426399703,0.6206896551724138,0.907754010695187,heart_data,SMOTE,Logistic Regression
0.819672131147541,0.7715355805243446,0.6666666666666666,0.8890374331550802,heart_data,SMOTE,ANN (MLP)
