Accuracy,Macro F1,Binary F1,ROC-AUC,Dataset,Condition,Model
0.9261083743842364,0.9011524103229995,0.8514851485148515,0.9134973900074572,maternal_data,Raw,Decision Tree
0.9408866995073891,0.9224401426388181,0.8846153846153846,0.9500994282873477,maternal_data,Raw,Random Forest
0.8669950738916257,0.826578073089701,0.7428571428571429,0.8933010191399453,maternal_data,Raw,KNN
0.8719211822660099,0.8297858617131063,0.7450980392156863,0.927914491672881,maternal_data,Raw,Logistic Regression
0.8522167487684729,0.7953629032258065,0.6875,0.8006462838677604,maternal_data,Raw,ANN (MLP)
0.9359605911330049,0.9165005537098561,0.8761904761904762,0.9134973900074572,maternal_data,SMOTE,Decision Tree
0.9408866995073891,0.9260204081632653,0.8928571428571429,0.9583022619935372,maternal_data,SMOTE,Random Forest
0.8817733990147784,0.856638418079096,0.7966101694915254,0.91039025602784,maternal_data,SMOTE,KNN
0.8374384236453202,0.8109389552112438,0.7401574803149606,0.9282873477504351,maternal_data,SMOTE,Logistic Regression
0.8423645320197044,0.8174460431654677,0.75,0.9229430773054934,maternal_data,SMOTE,ANN (MLP)
