Accuracy,Macro F1,Binary F1,ROC-AUC,Dataset,Condition,Model
0.8717948717948718,0.8458498023715415,0.9090909090909091,0.8810344827586207,parkinsons_data,Raw,Decision Tree
0.9230769230769231,0.8956289027653881,0.9491525423728814,0.9586206896551724,parkinsons_data,Raw,Random Forest
0.9230769230769231,0.8956289027653881,0.9491525423728814,0.9706896551724138,parkinsons_data,Raw,KNN
0.8717948717948718,0.8260481712756467,0.9152542372881356,0.9344827586206896,parkinsons_data,Raw,Logistic Regression
0.5641025641025641,0.5629531970995385,0.5853658536585366,0.8620689655172413,parkinsons_data,Raw,ANN (MLP)
0.8974358974358975,0.8655172413793104,0.9310344827586207,0.8655172413793103,parkinsons_data,SMOTE,Decision Tree
0.9487179487179487,0.9327586206896552,0.9655172413793104,0.9862068965517241,parkinsons_data,SMOTE,Random Forest
0.7948717948717948,0.7771428571428571,0.84,0.9793103448275862,parkinsons_data,SMOTE,KNN
0.8461538461538461,0.8194444444444444,0.8888888888888888,0.9517241379310344,parkinsons_data,SMOTE,Logistic Regression
0.48717948717948717,0.48684210526315785,0.47368421052631576,0.8793103448275862,parkinsons_data,SMOTE,ANN (MLP)
